FunID1,FunID2,t1_sim,t2_sim,t3_sim,t4_sim,t5_sim,t6_sim,t7_sim,t8_sim,t9_sim,t10_sim,t11_sim,t12_sim,t13_sim,t14_sim,t15_sim,t16_sim
2825450,14581601,1.0,1.0,1.0,1.0,0,1.0,1.0,1.0,1.0,1.0,0.9999999999999998,1.0,1.3392857142857142,80.35714285714286,1.0,0.08783783783783784
14581601,16324741,1.0,1.0,1.0,1.0,0,1.0,1.0,1.0,1.0,1.0,0.9999999999999998,1.0,1.3392857142857142,80.35714285714286,1.0,0.08783783783783784
6188784,14581601,1.0,1.0,1.0,1.0,0,1.0,1.0,1.0,1.0,1.0,0.9999999999999998,1.0,1.3392857142857142,80.35714285714286,1.0,0.08783783783783784
14581601,23596949,1.0,1.0,1.0,1.0,0,1.0,1.0,1.0,1.0,1.0,0.9999999999999998,1.0,1.3392857142857142,80.35714285714286,1.0,0.08783783783783784
9325670,14581601,1.0,1.0,1.0,1.0,0,1.0,1.0,1.0,1.0,1.0,0.9999999999999998,1.0,1.3392857142857142,80.35714285714286,1.0,0.08783783783783784
11993046,14581601,1.0,1.0,1.0,1.0,0,1.0,1.0,1.0,1.0,1.0,0.9999999999999998,1.0,1.3392857142857142,80.35714285714286,1.0,0.08783783783783784
2418918,14581601,1.0,1.0,1.0,1.0,0,1.0,1.0,1.0,1.0,1.0,0.9999999999999998,1.0,1.3392857142857142,80.35714285714286,1.0,0.08783783783783784
6980854,14581601,1.0,1.0,1.0,1.0,0,1.0,1.0,1.0,1.0,1.0,0.9999999999999998,1.0,1.3392857142857142,80.35714285714286,1.0,0.08783783783783784
14581601,23613195,1.0,1.0,1.0,1.0,0,1.0,1.0,1.0,1.0,1.0,0.9999999999999998,1.0,1.3392857142857142,80.35714285714286,1.0,0.08783783783783784
1424647,14581601,1.0,1.0,1.0,1.0,0,1.0,1.0,1.0,1.0,1.0,0.9999999999999998,1.0,1.3392857142857142,80.35714285714286,1.0,0.08783783783783784
10368839,11627705,1.0,1.0,1.0,1.0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.3352941176470587,58.76470588235294,1.0,0.11210762331838565
